Theta,Phi,C0 (A),C0 (A) uncertainty,C1 (B),C1 (B) uncertainty,C2 (A'),C2 (A') uncertainty,C3 (B'),C3 (B') uncertainty,C4,C4 uncertainty,C5,C5 uncertainty,C6,C6 uncertainty,C7,C7 uncertainty
2.1,0.0,10196.8,13.495925310996649,12851.6,22.22071105972984,0.0,0.0,20823.0,48.725763205926285,424.6,16.054905792311583,0.0,0.0,20.8,2.9223278392404914,0.0,0.0
2.11,0.0,10283.6,76.67307219617588,12675.6,54.38805015809998,0.0,0.0,20984.8,70.99957746353144,465.6,1.4,0.0,0.0,23.8,2.477902338672773,0.0,0.0
2.12,0.0,10252.0,21.304929007157007,12401.0,50.34779041824973,0.0,0.0,21042.8,79.72603088076065,435.2,8.386894538504702,0.0,0.0,17.8,1.4628738838327793,0.0,0.0
2.13,0.0,10242.6,79.14771001109254,12191.2,61.44298169848205,0.0,0.0,21069.2,120.12801505061172,459.4,9.431860898041275,0.0,0.0,17.8,2.727636339397171,0.0,0.0
2.14,0.0,10272.6,22.778498633579872,11835.4,19.30958311305555,0.0,0.0,21217.6,59.32672247815482,437.2,10.674268124794317,0.0,0.0,14.0,1.224744871391589,0.0,0.0
2.1500000000000004,0.0,10219.4,22.424540129063963,11694.8,47.995208094142065,0.0,0.0,21427.2,62.440691860356566,473.8,8.76013698523031,0.0,0.0,10.8,1.019803902718557,0.0,0.0
2.16,0.0,10225.0,61.451606976547,11601.4,22.28811342397557,0.0,0.0,21422.8,29.218829545346264,456.6,6.742403132415029,0.0,0.0,8.4,1.4352700094407322,0.0,0.0
2.17,0.0,10324.8,50.44541604546443,11510.0,75.10326224605693,0.0,0.0,21456.4,44.896102280710295,469.4,5.67978872846517,0.0,0.0,11.0,1.0,0.0,0.0
2.1799999999999997,0.0,10128.8,38.603626772623315,11422.2,58.931655330560666,0.0,0.0,21480.6,34.1417632819396,454.4,9.244457799135652,0.0,0.0,8.6,1.4,0.0,0.0
2.1900000000000004,0.0,10282.2,49.35726896820771,11398.8,31.77955317495826,0.0,0.0,21575.8,74.69966532722887,478.2,10.804628637764464,0.0,0.0,6.8,0.58309518948453,0.0,0.0
2.2,0.0,10228.4,54.64485337156647,11358.2,51.28684041740142,0.0,0.0,21656.2,36.71974945448294,453.4,10.230347012687302,0.0,0.0,7.4,1.8055470085267786,0.0,0.0
2.21,0.0,10343.6,30.020992655140503,11338.8,30.777264335869752,0.0,0.0,21730.0,76.69224211092018,486.8,5.379591062525106,0.0,0.0,6.0,0.6324555320336759,0.0,0.0
2.2199999999999998,0.0,10185.4,58.652024687984984,11430.2,77.78071740476555,0.0,0.0,21568.2,115.66952926332846,467.2,13.37684566704722,0.0,0.0,5.4,0.24494897427831777,0.0,0.0
2.23,0.0,10161.6,23.41922287352849,11411.0,22.156263222845137,0.0,0.0,21606.6,85.43219533641869,467.2,10.355674772799693,0.0,0.0,5.0,0.6324555320336759,0.0,0.0
2.24,0.0,10233.6,62.58162669665913,11609.0,57.857583772570386,0.0,0.0,21515.6,66.09735244319549,468.2,12.780453826057977,0.0,0.0,3.4,0.6782329983125267,0.0,0.0
2.25,0.0,10210.8,38.14891872648555,11666.4,50.57133575455566,0.0,0.0,21447.4,34.68803828411171,470.8,6.770524351924303,0.0,0.0,4.8,1.2409673645990857,0.0,0.0
2.26,0.0,10148.8,17.456803831171385,11816.2,18.73339264522046,0.0,0.0,21391.8,88.88723192900092,451.2,9.068627239003707,0.0,0.0,6.6,0.6782329983125267,0.0,0.0
2.27,0.0,10240.2,60.16926125522899,11980.6,42.66802081184455,0.0,0.0,21482.8,103.37862448301388,480.0,15.411035007422441,0.0,0.0,6.6,0.5099019513592784,0.0,0.0
2.28,0.0,10202.8,20.256850693037155,12162.4,27.065845636151845,0.0,0.0,21309.8,44.354706627369325,466.2,9.604165762834375,0.0,0.0,5.0,1.0954451150103321,0.0,0.0
2.2899999999999996,0.0,10184.6,44.30417587541833,12405.6,51.65229907758221,0.0,0.0,21290.0,64.42515036847023,473.6,8.19512049941915,0.0,0.0,7.4,1.0770329614269007,0.0,0.0
2.3,0.0,10254.0,58.1274461850854,12774.0,49.72423956180727,0.0,0.0,20926.4,46.303995507947256,461.6,2.9257477676655586,0.0,0.0,6.0,0.8366600265340755,0.0,0.0
