UV_HWP,phi,unc,DL,DR,RR,RL,DLu,DRu,RRu,RLu
0.0,0,0,0.0,0.0,0.0,0.0,889+/-9,576+/-14,702+/-14,826+/-16
5.0,0,0,5.0,5.0,5.0,5.0,830+/-9,597+/-6,474+/-10,1038+/-11
10.0,0,0,10.0,10.0,10.0,10.0,772+/-10,667+/-16,279+/-15,1232+/-22
15.0,0,0,15.0,15.0,15.0,15.0,695+/-8,743+/-19,125+/-6,1368+/-24
20.0,0,0,20.0,20.0,20.0,20.0,638+/-20,771+/-18,49+/-5,1392+/-17
25.0,0,0,25.0,25.0,25.0,25.0,607+/-8,829+/-8,52.0+/-3.2,1371+/-10
30.0,0,0,30.0,30.0,30.0,30.0,566+/-4,890+/-13,132.4+/-3.3,1294+/-17
35.0,0,0,35.0,35.0,35.0,35.0,572+/-5,869+/-8,281+/-10,1106+/-23
40.0,0,0,40.0,40.0,40.0,40.0,590+/-9,866+/-10,493+/-5,864+/-6
45.0,0,0,45.0,45.0,45.0,45.0,653+/-6,837+/-10,721+/-12,635+/-6
