,trial,eta,chi,fidelity,purity,AT_fidelity,W_min_T,Wp_t1_T,Wp_t2_T,Wp_t3_T,W_min_AT,W_min_expt,W_min_unc,Wp_t1_AT,Wp_t2_AT,Wp_t3_AT,Wp_t1_expt,Wp_t1_unc,Wp_t2_expt,Wp_t2_unc,Wp_t3_expt,Wp_t3_unc,UV_HWP,QP,B_HWP
0,26,29.999999999999996,0.057295779513082325,0.986742648860507,0.9749361069829872,0.9926416216205771,-0.24999999999999994,-0.2500003749995937,-0.24999999999999994,-0.24999999999999994,-0.24373402674574673,-0.23889926235600178,0.002861414597123212,-0.2437343923463908,-0.24373402674574673,-0.24373402674574673,-0.23903775942926783,0.002860987467560781,-0.23908576187368308,0.002856407382508124,-0.23890054838132047,0.0028614266594377616,50.09026837514638,323.00250509223974,45
0,26,29.999999999999996,18.045836623610466,0.9933209692067104,0.9886019628674781,0.9915202817358727,-0.24999999999999992,-0.28371274488396336,-0.24999999999999994,-0.24999999999999992,-0.24715049071686945,-0.2390961987078798,0.002557100652614163,-0.28047897648280623,-0.2471504907168695,-0.24715049071686945,-0.2750647456396874,0.0027401687767400424,-0.23915120524228728,0.0025561688826697747,-0.2391273058969873,0.0025574626985330165,50.10713190789041,324.80235578793946,45
0,26,29.999999999999996,36.03437746770785,0.9844995134055033,0.9713806950381594,0.9918671132741681,-0.24999999999999994,-0.3569126944623824,-0.24999999999999994,-0.24999999999999994,-0.2428451737595398,-0.24459866747069492,0.0021729654660126666,-0.3466981012148112,-0.2428451737595398,-0.2428451737595398,-0.3429490586635804,0.0021693295588882224,-0.24467322575928888,0.0021726995462896443,-0.2446033162845006,0.002173028015946347,52.065138273106605,326.07910071806293,45
0,26,29.999999999999996,54.022918311805235,0.9820090962617458,0.9663580608484481,0.9925811300168305,-0.24999999999999994,-0.43045518138739547,-0.25,-0.24999999999999994,-0.24158951521211197,-0.23304494498665976,0.0027531707140568025,-0.4159738343676905,-0.241589515212112,-0.24158951521211197,-0.4074386231494923,0.0023548010436104825,-0.2330991225411967,0.0027617674806729073,-0.23310152793678465,0.0027534578429321203,55.11195032675804,326.95251513191624,45
0,26,29.999999999999996,72.01145915590261,0.9805530516285562,0.9641489791311826,0.9906250270838692,-0.24999999999999994,-0.4817856152910722,-0.24999999999999994,-0.24999999999999994,-0.2410372447827956,-0.2584713461511596,0.0020868141449031175,-0.46451310914297594,-0.2410372447827956,-0.2410372447827956,-0.45908904364240116,0.0017185904369983235,-0.2584822780352814,0.0020868587318630177,-0.2585594788563603,0.0020878481663394823,58.73844689782511,327.1215847878904,45
0,26,29.999999999999996,90.0,0.9713209369826382,0.950074619290683,0.98827990279603,-0.24999999999999994,-0.49999999999999983,-0.24999999999999994,-0.25,-0.2375186548226707,-0.2791969642621813,0.0022944705159621023,-0.4750373096453413,-0.2375186548226707,-0.2375186548226707,-0.47423555939151835,0.002440906054449118,-0.2793178865289073,0.002295065924780664,-0.2792740682676897,0.0022949802846702464,62.645157725496055,326.9761247609495,45
0,26,45.0,0.057295779513082325,0.9900469887242048,0.9828088792320689,0.9900558972232885,-1.0710662796603661e-16,-0.0004999999166421387,-1.0710662796603661e-16,-1.0710662796603661e-16,-1.0526534498962661e-16,-0.020206458154533084,0.002728694221660913,-0.0004914043576931717,-1.0526534498962661e-16,-1.0526534498962661e-16,-0.02030442958747672,0.002740325477912279,-0.020701397887021612,0.0025776536411229044,-0.020208203257452383,0.002728717060423847,328.45494774,40.95054,45
0,26,45.0,18.045836623610466,0.9900342716705123,0.9847708239387548,0.9915604690553899,-6.591949208711866e-17,-0.15488887031069684,-6.591949208711866e-17,-6.591949208711866e-17,-6.491559253625607e-17,-0.03552530405840087,0.0029068473511545067,-0.15253004043480783,-6.491559253625607e-17,-6.491559253625607e-17,-0.14747421299193653,0.0026009767577557475,-0.03556099237516249,0.0028800931180203654,-0.03553333906646812,0.002906956907524533,44.77539779428477,-31.365980104288976,45
0,26,45.0,36.03437746770785,0.9952505859483205,0.9926122541185625,0.9939834178804536,-1.3877787807814454e-16,-0.2941352783293155,-1.3877787807814454e-16,-1.3877787807814454e-16,-1.3775262238093808e-16,-0.0006629566487835882,0.002358893966209573,-0.2919622816382526,-1.3775262238093808e-16,-1.3775262238093808e-16,-0.28799257802101247,0.0020886400066452595,-0.0007551155968351423,0.0023606878833672723,-0.0007684696284750814,0.0023591972312425216,49.23469813850041,329.6802455357143,45
0,26,45.0,54.022918311805235,0.9858807800614396,0.9788243108193984,0.9878706157133502,-8.326672684688672e-17,-0.40462602187411784,-8.326672684688672e-17,-8.326672684688672e-17,-8.1503496520091e-17,-0.045232698684053184,0.0031090531477130858,-0.3960577870005282,-8.1503496520091e-17,-8.1503496520091e-17,-0.391112625621273,0.001812826277590932,-0.045235205289598436,0.0031086012188458125,-0.045263861914457505,0.0031091716148758186,53.54563989265517,328.9278072014791,45
0,26,45.0,72.01145915590261,0.9766132853512106,0.960902044695098,0.9901082588704084,-8.326672684688672e-17,-0.47555915033624296,-8.326672684688672e-17,-8.326672684688672e-17,-8.001116808224166e-17,-0.04862790219180664,0.003600094470646288,-0.45696575993155936,-8.001116808224166e-17,-8.001116808224166e-17,-0.45403300660550083,0.0011544336698614912,-0.04869467772597812,0.0035992718744297055,-0.048701717753335094,0.0036000391582449395,57.886820252308674,328.9259903665413,45
0,26,45.0,90.0,0.9720330349536828,0.9460914199977402,0.9917488720735793,-8.326672684688672e-17,-0.4999999999999998,-8.326672684688672e-17,-8.326672684688672e-17,-7.877793584113502e-17,-0.008958212846360787,0.0035183645395613283,-0.47304570999886986,-7.877793584113502e-17,-7.877793584113502e-17,-0.47222328249939377,0.0007642165459750273,-0.0089983637903662,0.0034936965182179084,-0.009012060528428897,0.003518372635391171,62.28602543604673,329.18026785714284,45
