,QP,DR,DL,AR,AL,RR,RL,LR,LL,phi
0,-8.0,1522+/-18,78.2+/-3.3,60.2+/-3.2,1551+/-15,535+/-10,1102+/-15,1039+/-12,578+/-8,1.234+/-0.007
1,-7.157894736842105,1551+/-23,97.6+/-2.5,89+/-4,1530+/-10,488+/-10,1128+/-12,1105+/-17,540+/-11,1.176+/-0.008
2,-6.315789473684211,1497+/-22,113.8+/-1.4,102+/-8,1517+/-22,471+/-7,1176+/-10,1135+/-14,504+/-8,1.125+/-0.007
3,-5.473684210526316,1449+/-15,127+/-4,111+/-6,1465+/-10,428+/-11,1207+/-10,1182+/-14,447+/-9,1.056+/-0.007
4,-4.631578947368421,1482+/-18,148.8+/-2.1,121+/-8,1486+/-13,394+/-12,1235+/-15,1167+/-15,432+/-7,1.042+/-0.008
5,-3.7894736842105265,1429+/-12,163+/-4,142+/-4,1475+/-11,367+/-7,1231+/-11,1215+/-24,395+/-5,0.996+/-0.008
6,-2.947368421052632,1444+/-18,182+/-4,154+/-5,1431+/-11,342+/-4,1284+/-8,1183+/-8,387+/-10,0.971+/-0.006
7,-2.105263157894737,1443+/-19,174+/-5,157+/-8,1448+/-13,338.8+/-1.7,1324+/-8,1207+/-14,369+/-10,0.952+/-0.007
8,-1.2631578947368425,1428+/-21,194+/-5,179+/-7,1421+/-17,325+/-10,1307+/-10,1221+/-20,373+/-10,0.934+/-0.009
9,-0.4210526315789478,1421+/-29,194+/-6,169+/-5,1434+/-17,318+/-5,1302+/-10,1269+/-19,363+/-6,0.922+/-0.009
10,0.4210526315789469,1405+/-17,193+/-5,170+/-5,1407+/-20,316+/-8,1316+/-20,1248+/-9,352+/-7,0.912+/-0.008
11,1.2631578947368425,1399+/-18,198+/-6,180+/-6,1431+/-13,324+/-8,1271+/-8,1227+/-14,347+/-9,0.931+/-0.007
12,2.1052631578947363,1402+/-10,182.0+/-3.0,165+/-7,1436+/-17,332+/-13,1273+/-31,1224+/-14,342+/-10,0.939+/-0.011
13,2.94736842105263,1447+/-10,174+/-6,167+/-4,1435+/-13,340+/-10,1266+/-13,1233+/-8,363+/-7,0.955+/-0.006
14,3.7894736842105257,1425+/-16,178+/-4,155+/-7,1452+/-11,345+/-4,1279+/-16,1220+/-14,388+/-7,0.964+/-0.007
15,4.631578947368421,1453+/-16,157+/-6,143+/-5,1465+/-15,347.6+/-3.5,1266+/-14,1203+/-17,417+/-10,0.994+/-0.008
16,5.473684210526315,1454+/-25,153+/-7,131.4+/-2.1,1485+/-15,389+/-9,1240+/-12,1182+/-17,415+/-5,1.023+/-0.008
17,6.315789473684209,1474+/-14,126+/-4,114+/-4,1519+/-23,402+/-13,1226+/-11,1123+/-12,460+/-13,1.076+/-0.008
18,7.157894736842104,1522+/-17,113.8+/-3.5,100.6+/-3.2,1492+/-21,437+/-13,1163+/-13,1113+/-14,487+/-10,1.121+/-0.008
19,8.0,1489+/-18,88+/-4,84.8+/-3.1,1521+/-14,501+/-12,1145+/-9,1103+/-11,532+/-12,1.166+/-0.007
